book_id,title,authors,publication_date,page_count,genre_name,genre_id,categories,average_rating,ratings_count,description,language,publisher,isbn_13,isbn_10,thumbnail,info_link,collected_date
xYe5oTopUTAC,Industrial Chocolate Manufacture and Use,Steve T. Beckett,2011-09-07,676.0,Technology & Engineering,,Technology & Engineering,4.0,1.0,"Since the third edition of this standard work in 1999, there has been a significant increase in the amount of chocolate manufactured worldwide. The fourth edition of Industrial Chocolate Manufacture and Use provides up-to-date coverage of all major aspects of chocolate manufacture and use, from the growing of cocoa beans to the packaging and marketing of the end product. Retaining the important and well-received key features of the previous edition, the fourth edition also contains completely new chapters covering chocolate crumb, cold forming technologies, intellectual property, and nutrition. Furthermore, taking account of significant changes and trends within the chocolate industry, much new information is incorporated, particularly within such chapters as those covering the chemistry of flavour development, chocolate flow properties, chocolate packaging, and chocolate marketing. This fully revised and expanded new edition is an essential purchase for all those involved in the manufacture and use of chocolate.",en,John Wiley & Sons,9781444357554,1444357557,http://books.google.com/books/content?id=xYe5oTopUTAC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.co.uk/books?id=xYe5oTopUTAC&dq=subject:science&hl=&source=gbs_api,2025-07-30T10:41:06.106909
JqB6Qy9z3TcC,How We Became Posthuman,N. Katherine Hayles,2008-05-15,364.0,Science,,Science,4.0,7.0,"In this age of DNA computers and artificial intelligence, information is becoming disembodied even as the ""bodies"" that once carried it vanish into virtuality. While some marvel at these changes, envisioning consciousness downloaded into a computer or humans ""beamed"" Star Trek-style, others view them with horror, seeing monsters brooding in the machines. In How We Became Posthuman, N. Katherine Hayles separates hype from fact, investigating the fate of embodiment in an information age. Hayles relates three interwoven stories: how information lost its body, that is, how it came to be conceptualized as an entity separate from the material forms that carry it; the cultural and technological construction of the cyborg; and the dismantling of the liberal humanist ""subject"" in cybernetic discourse, along with the emergence of the ""posthuman."" Ranging widely across the history of technology, cultural studies, and literary criticism, Hayles shows what had to be erased, forgotten, and elided to conceive of information as a disembodied entity. Thus she moves from the post-World War II Macy Conferences on cybernetics to the 1952 novel Limbo by cybernetics aficionado Bernard Wolfe; from the concept of self-making to Philip K. Dick's literary explorations of hallucination and reality; and from artificial life to postmodern novels exploring the implications of seeing humans as cybernetic systems. Although becoming posthuman can be nightmarish, Hayles shows how it can also be liberating. From the birth of cybernetics to artificial life, How We Became Posthuman provides an indispensable account of how we arrived in our virtual age, and of where we might go from here.",en,University of Chicago Press,9780226321394,0226321398,http://books.google.com/books/content?id=JqB6Qy9z3TcC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://play.google.com/store/books/details?id=JqB6Qy9z3TcC&source=gbs_api,2025-07-30T10:41:06.106924
v8DaAAAAMAAJ,Darwin Among The Machines,George Dyson,1997-05,312.0,Computers,,Computers,,,"In this astonishing prediction of the World Wide Web's ultimate challenge to human civilization--a globally networked, electronic, sentient being--Dyson traces the course of the information revolution, illuminating the lives, work, and ideas of visionaries who foresaw the development of artificial intelligence, artificial life, and the global mind.",en,Addison Wesley Publishing Company,,,http://books.google.com/books/content?id=v8DaAAAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.co.uk/books?id=v8DaAAAAMAAJ&dq=subject:science&hl=&source=gbs_api,2025-07-30T10:41:06.106929
2V1tHqi4hLEC,The Encyclopedia of Animals,,2004,619.0,Nature,,Nature,4.5,11.0,"This lavishly illustrated trade reference to mammals, birds, reptiles, amphibians, fishes, and invertebrates features hundreds of glorious photos, masterful illustrations, and informative maps.",en,Univ of California Press,9780520244061,0520244060,http://books.google.com/books/content?id=2V1tHqi4hLEC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.co.uk/books?id=2V1tHqi4hLEC&dq=subject:science&hl=&source=gbs_api,2025-07-30T10:41:06.106933
CWNZDzrcpRMC,Geopolitics,John A. Agnew,2003,172.0,Political Science,,Political Science,5.0,1.0,"Geopolitics identifies and scrutinizes the central features of geopolitics from the sixteenth century to the present, paying close attention to its persisting conceptual underpinnings, novel turns and shifting impacts.",en,Psychology Press,9780415310079,0415310075,http://books.google.com/books/content?id=CWNZDzrcpRMC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.co.uk/books?id=CWNZDzrcpRMC&dq=subject:science&hl=&source=gbs_api,2025-07-30T10:41:06.106937
qIDC7ybvHQEC,Quaternary Extinctions,"Paul S. Martin, Richard G. Klein",1989-01-01,904.0,Science,,Science,,,"What caused the extinction of so many animals at or near the end of the Pleistocene? Was it overkill by human hunters, the result of a major climatic change or was it just a part of some massive evolutionary turnover? Questions such as these have plagued scientists for over one hundred years and are still being heatedly debated today. Quaternary Extinctions presents the latest and most comprehensive examination of these questions. ÑGeological Magazine ""May be regarded as a kind of standard encyclopedia for Pleistocene vertebrate paleontology for years to come."" ÑAmerican Scientist ""Should be read by paleobiologists, biologists, wildlife managers, ecologists, archeologists, and anyone concerned about the ongoing extinction of plants and animals."" ÑScience ""Uncommonly readable and varied for watchers of paleontology and the rise of humankind."" ÑScientific American ""Represents a quantum leap in our knowledge of Pleistocene and Holocene palaeobiology. . . . Many volumes on our bookshelves are destined to gather dust rather than attention. But not this one."" ÑNature ""Two strong impressions prevail when first looking into this epic compendium. One is the judicious balance of views that range over the whole continuum between monocausal, cultural, or environmental explanations. The second is that both the data base and theoretical sophistication of the protagonists in the debate have improved by a quantum leap since 1967."" ÑAmerican Anthropologist",en,University of Arizona Press,9780816511006,0816511004,http://books.google.com/books/content?id=qIDC7ybvHQEC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.co.uk/books?id=qIDC7ybvHQEC&dq=subject:science&hl=&source=gbs_api,2025-07-30T10:41:06.106941
9flZCwAAQBAJ,Palgrave Advances in Witchcraft Historiography,"J. Barry, O. Davies",2007-05-09,259.0,History,,History,,,"This is the first book to offer a detailed modern survey of Witchcraft historiography. By using a broad chronological structure, from contemporary responses through to modern day, the book draws on contributions from a range of leading experts in the field to provide a much-needed overview of the area.",en,Springer,9780230593480,0230593488,http://books.google.com/books/content?id=9flZCwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://play.google.com/store/books/details?id=9flZCwAAQBAJ&source=gbs_api,2025-07-30T10:41:06.106944
MxIUDAAAQBAJ,Conservation Biology for All,"Navjot S. Sodhi, Paul R. Ehrlich",2010-01-07,369.0,Nature,,Nature,4.0,1.0,"Conservation Biology for All provides cutting-edge but basic conservation science to a global readership. A series of authoritative chapters have been written by the top names in conservation biology with the principal aim of disseminating cutting-edge conservation knowledge as widely as possible. Important topics such as balancing conversion and human needs, climate change, conservation planning, designing and analyzing conservation research, ecosystem services, endangered species management, extinctions, fire, habitat loss, and invasive species are covered. Numerous textboxes describing additional relevant material or case studies are also included. The global biodiversity crisis is now unstoppable; what can be saved in the developing world will require an educated constituency in both the developing and developed world. Habitat loss is particularly acute in developing countries, which is of special concern because it tends to be these locations where the greatest species diversity and richest centres of endemism are to be found. Sadly, developing world conservation scientists have found it difficult to access an authoritative textbook, which is particularly ironic since it is these countries where the potential benefits of knowledge application are greatest. There is now an urgent need to educate the next generation of scientists in developing countries, so that they are in a better position to protect their natural resources.",en,Oxford University Press,9780199554232,0199554234,http://books.google.com/books/content?id=MxIUDAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.co.uk/books?id=MxIUDAAAQBAJ&dq=subject:science&hl=&source=gbs_api,2025-07-30T10:41:06.106948
gJ7KNvbMtREC,Handbook of Industrial Crystallization,Allan Myerson,2002-01-08,329.0,Technology & Engineering,,Technology & Engineering,,,"Crystallization is an important separation and purification process used in industries ranging from bulk commodity chemicals to specialty chemicals and pharmaceuticals. In recent years, a number of environmental applications have also come to rely on crystallization in waste treatment and recycling processes.The authors provide an introduction to the field of newcomers and a reference to those involved in the various aspects of industrial crystallization. It is a complete volume covering all aspects of industrial crystallization, including material related to both fundamentals and applications. This new edition presents detailed material on crystallization of biomolecules, precipitation, impurity-crystal interactions, solubility, and design.Provides an ideal introduction for industrial crystallization newcomers Serves as a worthwhile reference to anyone involved in the fieldCovers all aspects of industrial crystallization in a single, complete volume",en,Butterworth-Heinemann,9780080533513,0080533515,http://books.google.com/books/content?id=gJ7KNvbMtREC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://play.google.com/store/books/details?id=gJ7KNvbMtREC&source=gbs_api,2025-07-30T10:41:06.106951
mkV6DgAAQBAJ,RSPB Spotlight Owls,Marianne Taylor,2017-06-01,130.0,Nature,,Nature,,,"RSPB Spotlight: Owls is packed with eye-catching, informative colour photos, and features succinct, detailed text written by a knowledgeable naturalist. Owls are charismatic and exceptionally well-loved characters in British wildlife, and have always held a special place in our folklore and legends. Their nocturnal habits mean few of us have been lucky enough to see them up close. In RSPB Spotlight: Owls Marianne Taylor introduces readers to every aspect of their lives including their physiology, biology and behaviour, as well as their history, and future in conservation in Britain and abroad. Five species of owl currently live in Britain - the Tawny, Barn, Little, Long-eared and Short-eared Owls - and each of them, as well as their relatives abroad, are introduced here in detail alongside top quality colour photographs and fascinating behavioural images, which will delight and inform the whole family. The book begins with a look at owls in general then examines the five British species in more detail. It discusses their evolutionary history and distribution around the world. Their anatomy and adaptations are examined, as well as their natural behaviours including hunting, nesting and mating practices. Next, we are introduced to their life cycles, beginning as eggs, moving onto fledging and independence, migration, and finally death. Marianne also includes a discussion of conservation as it affects owls, and owls' unique relationships with humans and our culture.",en,Bloomsbury Publishing,9781472933706,1472933702,http://books.google.com/books/content?id=mkV6DgAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://play.google.com/store/books/details?id=mkV6DgAAQBAJ&source=gbs_api,2025-07-30T10:41:06.106954
